iter	Logloss
0	0.4834686285
1	0.4354789937
2	0.4209919092
3	0.4142578574
4	0.4116243921
5	0.410591428
6	0.4094665773
7	0.4090694229
8	0.4083987127
9	0.4081206631
10	0.4076979914
11	0.4072708955
12	0.4068893673
13	0.4065597949
14	0.4063649332
15	0.4058514831
16	0.405366267
17	0.4051520991
18	0.4048300431
19	0.4042331437
20	0.4038965522
21	0.4036185667
22	0.403342398
23	0.4030320518
24	0.4027071664
25	0.4025293475
26	0.4024213185
27	0.4021873161
28	0.4019562853
29	0.4015335857
30	0.401414526
31	0.4013159696
32	0.4012704222
33	0.4010379274
34	0.4008166688
35	0.4005916773
36	0.4004821219
37	0.4002781218
38	0.4001049023
39	0.4000421432
40	0.3998588565
41	0.39969592
42	0.3995879791
43	0.3995801216
44	0.399390251
45	0.3992146755
46	0.3990706071
47	0.3989136929
48	0.3985829584
49	0.3983967579
