iter	Passed	Remaining
0	98	4835
1	241	5797
2	367	5751
3	460	5301
4	553	4982
5	648	4754
6	757	4655
7	929	4881
8	1013	4618
9	1139	4556
10	1236	4385
11	1313	4160
12	1400	3985
13	1470	3781
14	1547	3611
15	1628	3460
16	1700	3301
17	1792	3186
18	1858	3032
19	1917	2875
20	1975	2727
21	2030	2584
22	2093	2457
23	2152	2332
24	2213	2213
25	2271	2096
26	2333	1988
27	2400	1885
28	2462	1782
29	2523	1682
30	2584	1583
31	2639	1484
32	2710	1396
33	2795	1315
34	2856	1224
35	2915	1133
36	2973	1044
37	3031	957
38	3090	871
39	3148	787
40	3201	702
41	3255	620
42	3310	538
43	3370	459
44	3420	380
45	3477	302
46	3535	225
47	3597	149
48	3656	74
49	3739	0
